text,label,language,notes,stage2_pred,stage2_score,correct,final_prediction,stage3_score,stage3_flags
🚨 CBEX AI Trading is back! Deposit $200 and earn 100% ROI in 30 days. Limited slots for Nigerians only. DM for registration link.,ponzi_related,english,CBEX impersonation,ponzi_related,0.9997180104255676,True,ponzi_related,7,"Urgency / Scarcity Pressure, Withdrawal / Deposit Language, Known Ponzi Scheme References"
"Join the new MMM Nigeria revival! Provide Help ₦50,000 and Get Help ₦100,000 in 14 days. Guaranteed payout. WhatsApp +234...",ponzi_related,english,MMM revival scam,ponzi_related,0.9996899366378784,True,ponzi_related,6,"Guaranteed Returns, Known Ponzi Scheme References"
"Racksterli is paying! Subscribe for ₦14,000 and earn ₦120,000 monthly by posting sponsored ads. No risk. Register now before slots close.",ponzi_related,english,Racksterli impersonation,ponzi_related,0.9996732473373412,True,ponzi_related,6,"Guaranteed Returns, Known Ponzi Scheme References"
"MBA Forex Capital now accepting new investors. Minimum ₦100,000 investment. 15% monthly returns guaranteed. Licensed by SEC. Contact our agent.",ponzi_related,english,MBA Forex impersonation,ponzi_related,0.9997032284736632,True,ponzi_related,6,"Guaranteed Returns, Known Ponzi Scheme References"
Breaking! New crypto platform pays 5% daily. Invest ₦50k get ₦2.5k daily for 40 days. Refer 3 friends get extra 10%. Link in bio.,ponzi_related,english,Generic crypto Ponzi,ponzi_related,0.9997159838676452,True,legitimate,0,—
"Forex trading signals from certified Lagos broker. 98% win rate. Invest ₦200,000 today and double your money in 2 weeks. Zero risk.",ponzi_related,english,Forex signals scam,ponzi_related,0.9997640252113342,True,ponzi_related,8,"Guaranteed Returns, Unrealistic ROI, Cryptocurrency / Forex Fraud"
"Opay mining bot now live! Connect your Opay account and earn ₦5,000 daily doing nothing. First 100 users get ₦20,000 bonus.",ponzi_related,english,Fake fintech bot,ponzi_related,0.9997209906578064,True,legitimate,2,Cryptocurrency / Forex Fraud
Don't miss this opportunity! Pay ₦10k registration fee and join our premium investment club. Earn ₦50k weekly guaranteed. WhatsApp link below.,ponzi_related,english,Urgency tactics,ponzi_related,0.9997028708457948,True,ponzi_related,7,"Guaranteed Returns, Urgency / Scarcity Pressure, Membership / Package Tiers"
"EXCLUSIVE VIP INVESTMENT GROUP - Deposit ₦500K, withdraw ₦1.5M in 21 days. AI-powered trading. Only 50 slots left. Act fast.",ponzi_related,english,VIP tier scam,ponzi_related,0.9997361302375792,True,ponzi_related,4,"Withdrawal / Deposit Language, Membership / Package Tiers"
Breaking news! A new platform endorsed by Davido pays you ₦100k daily just for sharing posts. Join the Telegram group to get started.,ponzi_related,english,Celebrity endorsement scam,ponzi_related,0.999414324760437,True,legitimate,0,—
Guys this thing na real! I don collect ₦450k from this investment last week. No be scam. DM me make I add you to the WhatsApp group before registration close.,ponzi_related,pidgin,Pidgin testimonial scam,ponzi_related,0.9997162222862244,True,legitimate,2,Social Proof Manipulation
"Bros abeg join this forex group, na legit. Pay ₦5k entrance fee, you go dey earn ₦30k every week. Admin dey pay sharp sharp.",ponzi_related,pidgin,Pidgin recruitment,ponzi_related,0.999711573123932,True,legitimate,2,Social Proof Manipulation
"Naija people wake up! Dis platform don change my life. I put ₦200k last month, now I get ₦800k for my account. Register with my link and get ₦10k bonus.",ponzi_related,pidgin,Pidgin referral scam,ponzi_related,0.9996938705444336,True,legitimate,0,—
"Oga na correct investment be dis. I swear on my mama, you go double your money in 7 days. No long story, just deposit and chop your profit.",ponzi_related,pidgin,Pidgin informal scam,ponzi_related,0.999405026435852,True,ponzi_related,7,"Unrealistic ROI, Withdrawal / Deposit Language, Social Proof Manipulation"
"Make una no sleep o! Limited slot for this new crypto platform. Pay ₦25k, receive ₦100k after 14 days. Admin don verify am.",ponzi_related,pidgin,Pidgin urgency,ponzi_related,0.9997170567512512,True,legitimate,0,—
"Guaranteed return ki yojna! ₹10,000 invest karo aur 30 din me ₹50,000 paao. 100% safe aur legal. Abhi registration karo.",ponzi_related,hindi,Hindi guaranteed returns,ponzi_related,0.9997108578681946,True,ponzi_related,3,Guaranteed Returns
"Naya investment plan! Daily 5% return milega. ₹5,000 se start karo aur monthly ₹75,000 kamao. Limited seats hai, jaldi join karo.",ponzi_related,hindi,Hindi daily returns,ponzi_related,0.9996832609176636,True,legitimate,2,Urgency / Scarcity Pressure
"Crypto trading bot lagao aur ghar baithe paise kamao. ₹20,000 lagao, har roz ₹2,000 kamaao. Koi risk nahi. Telegram link niche hai.",ponzi_related,hindi,Hindi crypto bot,ponzi_related,0.9996484518051147,True,ponzi_related,5,"Daily/Weekly Profit Claims, Passive Income Claims"
"Bhai yeh scheme 100% genuine hai. Main khud ₹50,000 laga ke ₹2 lakh nikala. Tum bhi join karo referral code se, bonus milega.",ponzi_related,hindi,Hindi testimonial,ponzi_related,0.9995707869529724,True,ponzi_related,8,"Recruitment / Referral Incentives, Pyramid / Network Structure, Social Proof Manipulation"
"Forex signal group join karo. Weekly ₹25,000 guaranteed. Pehle 100 members ko free entry. DM for details.",ponzi_related,hindi,Hindi forex signals,ponzi_related,0.9996600151062012,True,ponzi_related,3,Guaranteed Returns
Investasi cerdas dengan return 10% per hari! Mulai dari Rp 500.000 dan dapatkan Rp 5 juta dalam sebulan. Dijamin aman dan legal.,ponzi_related,indonesian,Indonesian daily returns,ponzi_related,0.9996981620788574,True,ponzi_related,6,"Guaranteed Returns, Daily/Weekly Profit Claims"
"CBEX Indonesia buka slot baru! AI trading otomatis, profit 100% dalam 30 hari. Deposit minimum Rp 2 juta. Daftar sekarang sebelum tutup.",ponzi_related,indonesian,Indonesian CBEX,ponzi_related,0.9996662139892578,True,ponzi_related,5,"Withdrawal / Deposit Language, Known Ponzi Scheme References"
Peluang emas! Bergabung dengan grup investasi forex eksklusif. Modal Rp 1 juta jadi Rp 5 juta dalam 2 minggu. Tanpa risiko.,ponzi_related,indonesian,Indonesian forex,ponzi_related,0.9997065663337708,True,legitimate,0,—
Saya sudah buktikan! Invest Rp 3 juta minggu lalu dan withdraw Rp 9 juta hari ini. Bukan penipuan. DM untuk link registrasi.,ponzi_related,indonesian,Indonesian testimonial,ponzi_related,0.9996821880340576,True,ponzi_related,4,"Withdrawal / Deposit Language, Social Proof Manipulation"
Bot mining crypto terbaru! Hubungkan wallet Anda dan dapatkan Rp 500.000 per hari otomatis. 100 pengguna pertama bonus Rp 2 juta.,ponzi_related,indonesian,Indonesian mining bot,ponzi_related,0.999705135822296,True,ponzi_related,3,Daily/Weekly Profit Claims
Kesempatan terbatas! Program referral membayar komisi 20% seumur hidup. Ajak teman dan nikmati passive income jutaan per bulan.,ponzi_related,indonesian,Indonesian referral,ponzi_related,0.9996787309646606,True,ponzi_related,5,"Recruitment / Referral Incentives, Passive Income Claims"
"Abeg na last call be dis! Dis crypto platform go close registration tomorrow. Pay ₦15k now, thank me later. Admin don confirm am.",ponzi_related,pidgin,Pidgin last call,ponzi_related,0.9988434314727784,True,legitimate,0,—
"FINAL CALL! Only 24 hours left to join the Naija Wealth Club. ₦20,000 entry fee returns ₦200,000 in 30 days. Testimonials in group chat.",ponzi_related,english,Final call scam,ponzi_related,0.9997095465660096,True,legitimate,0,—
"Dost log yeh chance mat chhodo! Gold mining investment app launch hua hai. ₹1,000 invest karke ₹10,000 kamaao har hafte.",ponzi_related,hindi,Hindi urgency,ponzi_related,0.9995891451835632,True,ponzi_related,3,Daily/Weekly Profit Claims
"Grup WhatsApp investasi premium — slot terbatas! Deposit Rp 500K, tarik Rp 2 juta setiap minggu. Member aktif sudah 5000+.",ponzi_related,indonesian,Indonesian WhatsApp scam,ponzi_related,0.9996696710586548,True,ponzi_related,6,"Urgency / Scarcity Pressure, Withdrawal / Deposit Language, Membership / Package Tiers"
GTBank has announced new savings rates effective Monday. Visit your nearest branch or use the GTWorld app for more information.,legitimate,english,Legit bank update,ponzi_related,0.9977620840072632,False,legitimate,0,—
Reminder: Your Opay card expires next month. Please visit the app to request a replacement at no charge. Customer support: 0700-OPAY.,legitimate,english,Legit fintech notice,ponzi_related,0.9845795631408693,False,legitimate,0,—
Join our free webinar this Saturday on personal finance basics. Hosted by CFA-certified speakers. Register at webinar.ng/signup.,legitimate,english,Legit webinar,ponzi_related,0.9958129525184632,False,legitimate,0,—
The CBN has released new forex guidelines for the second quarter. Details are available on the official Central Bank website.,legitimate,english,CBN announcement,legitimate,0.9998201727867126,True,legitimate,0,
