alert_id,timestamp,platform,text,true_label,risk_score,risk_level,flags_triggered,ponzi_unique_flags,explanation,stage3_alert
PG-20260524-00000,2026-05-24T19:56:15.933609,Telegram,📺amazon prime video 6 month🔥 ✅on youre mail id ✅student trial antiban ✅edu mail made ✅private account ✅with full 6 month guarantee ✅no lock suspend issue 👍 ❤️price : 90rs only 🙌 ❤️bulk : 80rs each minimum 2 acc 🔥“the family man s2 out now”🔥 ✅other accounts ✅ 🔥netflix crack eng language 🔥spotify prem,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00001,2026-05-24T19:56:15.933768,Telegram,euro 2020 betting competition ——win up to 1000 usdt participate in the betting on the euro 2020 tournament and share the betting screenshots to the official bitgame community you will have the opportunity to share the 1000 usdt prize! 🏆rules 🔑 how to participate? ✅having a bet on any of the euro 202,ponzi_related,1,LOW,1,0,Triggered 1 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 1. Categories: Social Proof Manipulation.,False
PG-20260524-00002,2026-05-24T19:56:15.934480,Telegram,"strictly private . gooday , with warm heart my friend , i send you my greetings , and i hope this letter meets you in good time . it will be surprising to you to receive this proposal from me since you do not know me personally . however , i am sincerely seeking your confidence in this transaction ,",ponzi_related,1,LOW,1,0,Triggered 1 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 1. Categories: Withdrawal / Deposit Language.,False
PG-20260524-00003,2026-05-24T19:56:15.936636,Telegram,"HelloYou may have seen this business before and
ignored it. I know I did - many times! However,
please take a few moments to read this letter.
I was amazed when the profit potential of this
business finally sunk in... and it works!With easy-to-use e-mail tools and opt-in e-mail,
success in this busi",ponzi_related,10,HIGH,3,2,"Triggered 3 rule(s) including 2 Ponzi-specific pattern(s). Risk score: 10. Categories: Pyramid / Network Structure, Passive Income Claims, Social Proof Manipulation.",True
PG-20260524-00004,2026-05-24T19:56:15.936727,Telegram,do not be afraid to invest here in this  this is the right source where you can get paid in due time reliable and guaranteed,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00005,2026-05-24T19:56:15.936818,Telegram,"Stop watching others get rich! Our crypto mining bot earns ₦12,000 daily on autopilot. ₦70k deposit, 30-day contract. Withdraw anytime via Kuda/Opay/Palmpay.",ponzi_related,3,LOW,2,0,"Triggered 2 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 3. Categories: Unregulated Crypto / Forex, Withdrawal / Deposit Language.",False
PG-20260524-00006,2026-05-24T19:56:15.936907,Telegram,i really appreciate all her effort with the little startup of $750 with all the joy over me after withdrawing $6300 with the help of matthiasaumann her telegram channel 👇,ponzi_related,1,LOW,1,0,Triggered 1 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 1. Categories: Withdrawal / Deposit Language.,False
PG-20260524-00007,2026-05-24T19:56:15.937000,Telegram,many people have lost so much bitcoin to fraudi lost so much also and promise not to trust any bitcoin  again until i came across this investment this is best and legit  to trust with your hard earned money connect to get started,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00008,2026-05-24T19:56:15.937221,Telegram,"Untitled DocumentThis is what are customers are sayingâ€œI was shocked. I can't believe how low the prices are, and the quality of the product is great. I will recommend your site  to everyone I know.â€ 
----------------------------------------------
""
Cartridges were half of my lowest discount sto",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00009,2026-05-24T19:56:15.937364,Telegram,corporate identity for your business corporate image can say a lot of things about your company contemporary rhythm of life is too dynamic sometimes it takes oniy several seconds for your company to be remembered or to be lost among competitors get your loqo business stationery or website done right,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00010,2026-05-24T19:56:15.937814,Telegram,"Medial News -- Anti-Aging Breakthrough.
Thousands Grow Biologically Younger. Proven by Laboratory Test Results.As announced on NBC News, Dateline NBC, 20/20, Oprah and many other news programs and talk shows, you can help slow the aging process by using the correct anti-aging products.90-day, 100-pe",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00011,2026-05-24T19:56:15.937907,Telegram,im so excited when i opened my wallet and saw my payment of 9000 with a little capital of800 it was a boost to my coins! you knew exactly what i wanted thanks you so much for the payment 👇👇👇👇👇 stockforextd stockforextd stockforextd,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00012,2026-05-24T19:56:15.938662,Telegram,"Direct Email 
Blaster 
The program will send mail at the 
rate of over 1, 000 e-mails per minute.Â Legal and Fast 
sending bulk emailsÂ Built in SMTP 
serverÂ Have Return PathÂ Can Check Mail 
AddressÂ Make Error Send Address List( Remove or 
Send Again)Â Support multi-threads.Â Support 
multi-smtp ",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00013,2026-05-24T19:56:15.938818,Telegram,mail delivery failed returning message to sender this message was created automatically by mail delivery software a message that you sent could not be delivered to one or more of its recipients this is a permanent error the following address es failed ian altair 398 demon co uk generated from ian al,ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00014,2026-05-24T19:56:15.938881,Telegram,take a profit and rebuy in for sure,legitimate,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00015,2026-05-24T19:56:15.939028,Telegram,"fwd : vlco \ din ` valium \ vlagr @ ^ | xianax som . a . # pn : t : ermin sfsvshkwuuio hi paliourg , we offer some of the affordable drugs available anywhere on the internet , with the convenience of our online tracking system and refills . on stock : & : p : ntermin ~ vl @ gra ` . valium . - x @ na",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00016,2026-05-24T19:56:15.940089,Telegram,"emerging growth stox opportunity the bullish report - june issue our top june alert is : caeo - china resources group ltd , already up 20 cents for the last few days and probably going over $ 1 china resources expands strategic advisory board china resources expands strategic advisory board symbol :",ponzi_related,0,LOW,0,0,No structured red flags detected by rule engine.,False
PG-20260524-00017,2026-05-24T19:56:15.940170,Telegram,wow i just received my profit of $7500 in just 24hours god bless you mr nicholas its real and legit contact him via link👇👇👇👇👇👇👇👇👇👇,ponzi_related,1,LOW,1,0,Triggered 1 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 1. Categories: Social Proof Manipulation.,False
PG-20260524-00018,2026-05-24T19:56:15.940268,Telegram,❤️our official paytm cash bot launched❤️ 👍bot type: fill ur bank bot link: fillurbankagainbot 🎁bonus0 2 cash 👥per refer: 1 cash 😃min withdraw: 1 cash 💯 trusted verified bot today lunched new trusted bot 🔥,ponzi_related,2,LOW,2,0,"Triggered 2 rule(s) including 0 Ponzi-specific pattern(s). Risk score: 2. Categories: Withdrawal / Deposit Language, Social Proof Manipulation.",False
PG-20260524-00019,2026-05-24T19:56:15.940354,Telegram,"Brand new platform: Naija Forex Pro! Minimum ₦25k deposit, 15% guaranteed weekly return. SEC compliant, fully insured. First 100 sign-ups get free trading course.",ponzi_related,11,HIGH,3,2,"Triggered 3 rule(s) including 2 Ponzi-specific pattern(s). Risk score: 11. Categories: Guaranteed Returns, Daily/Weekly Profit Claims, Withdrawal / Deposit Language.",True
