text,label,language,source
"🚨 CBEX AI Trading is back! Deposit ₦150,000 and watch our bot earn you ₦15,000 daily for 30 days. Withdrawals go straight to your Opay account. Limited slots — DM admin to register.",ponzi_related,english,llm_synthetic
"Just withdrew ₦450,000 from CBEX this morning! Started with ₦100k two weeks ago. This thing na real money. Use my referral code DEMI2024 and get ₦5k bonus on signup 💰💰",ponzi_related,english,llm_synthetic
"MMM Nigeria Revival! Provide Help ₦50,000, Get Help ₦100,000 in 14 days. Verified by community admins. 30% bonus for first 50 participants this week. Join the WhatsApp group via link in bio.",ponzi_related,english,llm_synthetic
"Racksterli paying members today! Pay your ₦14,000 subscription and start earning ₦4,000 daily by posting our sponsored ads. Already paid out ₦2 billion to subscribers. Sign up before slots close Friday.",ponzi_related,english,llm_synthetic
"MBA Forex now accepting deposits via Kuda Bank. Minimum ₦100,000, guaranteed 18% monthly returns. Licensed broker, SEC verified. Contact our agent on WhatsApp for VIP onboarding.",ponzi_related,english,llm_synthetic
"New crypto mining bot just launched! Connect your wallet, deposit 0.01 BTC, watch your balance grow 5% daily. First 200 users get DOUBLE returns. Don't miss this opportunity 🚀",ponzi_related,english,llm_synthetic
"Bro this platform changed my life. I deposited ₦75,000 last month, withdrew ₦300,000 yesterday. No scam, real proof of payment in the group. WhatsApp 0815xxxxx to get added.",ponzi_related,english,llm_synthetic
"⚡ URGENT ⚡ Slots closing TONIGHT! Pay ₦25,000 entry fee, receive ₦100,000 payout in 7 days. Pyramid structure, guaranteed payout when your downline fills. Admin verified ✅",ponzi_related,english,llm_synthetic
Imagine Global Solutions is paying! Premium package ₦200k gives you ₦50k weekly for 12 weeks. Refer 3 friends and get extra ₦30k bonus. Withdraw to any Nigerian bank instantly.,ponzi_related,english,llm_synthetic
"Make ₦500,000 in 30 days from your phone. Just download our trading app, deposit ₦20,000, our AI does the rest. Already 5000+ Nigerians earning daily. Link below 👇",ponzi_related,english,llm_synthetic
"ATTENTION NAIJA! The new Loom Money is here! Pay ₦5,000, recruit 8 people, reach the centre and cash out ₦40,000. Simple, fast, guaranteed. Don't sleep on this!",ponzi_related,english,llm_synthetic
"Daily profit alert: members earned average ₦12,000 today on our forex platform. Join the VIP group now for free signals. Minimum trade ₦10k. Profits paid directly to Palmpay.",ponzi_related,english,llm_synthetic
"Just got paid ₦230,000 from Racksterli today! 💵 This is my 4th payout this month. The platform is 100% real. Use my link to sign up and we both win.",ponzi_related,english,llm_synthetic
CBEX Premium Package available again! Deposit $500 and earn $50 daily for 30 days. AI-powered trading guaranteed by smart contracts. No risk. Slots filling fast.,ponzi_related,english,llm_synthetic
"Twinkas Empire is BACK! Pay ₦2,500 starter fee, donate to your upline, recruit 2 people, withdraw ₦20,000 in 24 hours. Reliable. Tested. Verified. Join now.",ponzi_related,english,llm_synthetic
"Forex signal masters! Pay ₦15,000 monthly subscription and earn ₦5,000 daily from our 95% win-rate signals. Already 3000+ subscribers. Bank-grade encryption.",ponzi_related,english,llm_synthetic
Onecoin Investment opening Nigeria branch! Buy your investment package from ₦50k to ₦5 million. Up to 200% returns in 90 days. Limited to 1000 investors only.,ponzi_related,english,llm_synthetic
"Tested and trusted: BitConnect 2.0 is live! Deposit BTC, earn 1% daily compound interest forever. The original BCC team is back. Don't miss the early bird bonus 🚀",ponzi_related,english,llm_synthetic
"Massive opportunity! Pay ₦30,000 one-time fee, earn ₦15,000 weekly for life. Pyramid binary plan, 10 levels deep, fully automated. Limited to first 500 sign-ups.",ponzi_related,english,llm_synthetic
"Naija wealth movement! Join our exclusive WhatsApp group for guaranteed daily profits of ₦8,000+. Entry fee ₦12k. Members already making ₦200k+ monthly. Slots limited.",ponzi_related,english,llm_synthetic
"Bro check this out — I started with ₦50,000 on this AI trading platform 3 weeks ago. Now my balance is ₦280,000. Withdrew ₦100k yesterday. Real talk, no scam. DM me.",ponzi_related,english,llm_synthetic
"New scheme that pays! Pay ₦20,000, get matrix position, recruit 4 people in your downline, withdraw ₦150,000 when matrix completes. Average completion 14 days. Tested!",ponzi_related,english,llm_synthetic
"Premium investment club exclusive offer! Pay ₦100,000 join-up, receive ₦50,000 weekly for 8 weeks. That's ₦400k from ₦100k. SEC-aware platform. WhatsApp admin.",ponzi_related,english,llm_synthetic
"Hot crypto opportunity! Our AI bot grows your USDT at 7% daily compound. Deposit minimum $200, withdraw anytime after 7 days. Refer friends and earn 15% commission.",ponzi_related,english,llm_synthetic
"Last chance to join Racksterli Premium! Only 50 slots left for the ₦25,000 package paying ₦200,000 monthly. Slots closing Sunday midnight. Don't sleep on this!",ponzi_related,english,llm_synthetic
Final reminder: MMM Federal Republic launches tomorrow! Initial deposits get 50% bonus mavros. ROI 30% per month guaranteed. Already 100k members registered.,ponzi_related,english,llm_synthetic
"Smart Nigerians making money on this platform! ₦40,000 starter package returns ₦200,000 in 30 days. Withdrawals processed within 2 hours via bank transfer.",ponzi_related,english,llm_synthetic
"Trading signals VIP group offer! ₦8,000 monthly fee for signals making ₦3,000+ daily. 92% accuracy. Trusted by 1500+ members. Slots filling — register now via Opay.",ponzi_related,english,llm_synthetic
"⚡ Withdrawal proof attached! Just cashed out ₦180,000 from CBEX. Started with ₦60k 12 days ago. Tested and reliable. Comment YES to be added to the official group.",ponzi_related,english,llm_synthetic
"Brand new platform: Naija Forex Pro! Minimum ₦25,000 deposit, 15% guaranteed weekly returns. SEC compliant, fully insured. First 100 sign-ups get free trading course.",ponzi_related,english,llm_synthetic
"Make money while you sleep 💤💰 Our automated trading bot earns you ₦5,000+ daily without lifting a finger. ₦30k starting deposit. Withdraw to any bank.",ponzi_related,english,llm_synthetic
"Premium VIP Forex group: pay ₦25,000 entry, receive daily ROI of ₦4,000+ for 60 days. Risk-free, 100% guaranteed by our trading desk. Limited slots remaining.",ponzi_related,english,llm_synthetic
"Recruitment alert! Join our exclusive cash-flow community. Pay ₦10,000, recruit 5 friends, withdraw ₦50,000. Repeat the cycle as many times as you want. Easy money.",ponzi_related,english,llm_synthetic
"Brand new MLM crypto opportunity! Deposit $100 in USDT, refer 3 people, withdraw $500 in 7 days. Binary matrix system, fully automated. Don't miss out 🚀",ponzi_related,english,llm_synthetic
"AI Trading Bot Nigeria! Just launched! Deposit ₦50k, earn ₦7,500 daily for 30 days. No trading skill needed. Bot does everything. Join our Telegram group below.",ponzi_related,english,llm_synthetic
Made ₦1.2 million last month from this platform 🎉 Started with ₦200k investment. Withdrew weekly. Now using profits to recruit. Comment for details.,ponzi_related,english,llm_synthetic
"Final batch entry for MBA Forex! ₦150k minimum, 20% monthly guaranteed, 6-month contract. Already paid ₦5 billion to investors. Limited slots — register today.",ponzi_related,english,llm_synthetic
"Hot deal! Pay ₦5,000 entry, get matrix position, complete 2x2 matrix, withdraw ₦40,000. Average cycle 10 days. Tested 1000+ times. Trustworthy admins.",ponzi_related,english,llm_synthetic
Want financial freedom? Join our wealth multiplication program! ₦100k turns into ₦500k in 60 days. Verified payouts to GTBank and Access Bank. Slots closing soon.,ponzi_related,english,llm_synthetic
CBEX FastTrack Package available! $1000 deposit returns $2000 in 14 days. AI-managed risk-free trades. Verified withdrawals to Opay and Kuda. Don't sleep!,ponzi_related,english,llm_synthetic
Massive profits guaranteed! Our crypto arbitrage bot earns 3% daily compound. Minimum deposit $50. Trusted by 8000+ users globally. Sign up with referral DEMI for bonus.,ponzi_related,english,llm_synthetic
"Welcome bonus today only! Register on our forex platform with ₦20,000 minimum deposit and get FREE ₦10,000 trading credit. ROI 25% weekly. Limited 24-hour offer.",ponzi_related,english,llm_synthetic
"Exclusive opportunity! Donate ₦50k to your upline, recruit 4 people, receive ₦400k in 30 days. Mathematical certainty. Already 50,000 Nigerians enrolled.",ponzi_related,english,llm_synthetic
"Hot off the press: Loom Diamond 2.0 launched! ₦25k entry, ₦200k payout when loom completes. Verified payouts. Already 12,000 cycles completed this week alone.",ponzi_related,english,llm_synthetic
"Just received ₦340,000 alert from my forex broker 🎉 Started 2 months ago with ₦80k. Compounding profits. The system works. Available slots in WhatsApp group.",ponzi_related,english,llm_synthetic
"URGENT WhatsApp group invite! Premium forex signals making members ₦15,000 daily. ₦20,000 monthly subscription. 96% win rate. DM admin for invite link.",ponzi_related,english,llm_synthetic
"Wealth-building system for serious investors! Pay ₦200k, earn ₦25k weekly for 16 weeks. That's ₦400k profit. Withdrawals every Friday like clockwork.",ponzi_related,english,llm_synthetic
"New AI mining bot supports Naira deposits! Min ₦30,000, returns 6% daily for 25 days. Withdraw anytime via Opay. Affiliate commission 20% on referrals. Join now!",ponzi_related,english,llm_synthetic
"Pay ₦15,000 entry fee for our exclusive wealth course AND VIP signals group. Members earning ₦200k+ monthly. Money-back guarantee. Last 30 slots available.",ponzi_related,english,llm_synthetic
